enzyme,color,Protein accession number,Environment group,Exact sampling location
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_194855806.1,Surface seawater●,superficial seawater from the Mediterranean Sea
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_008486116.1,Intertidal / coastal seawater★,China
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_308160236.1,Deep-sea / chemosynthetic sediment⬟,Indian Ocean: polymetallic sulfide region
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_226877159.1,Mangrove sediment✚,China: Ningbo City
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_214129931.1,Deep-sea / chemosynthetic sediment⬟,Indian Ocean
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_043321053.1,Surface seawater●,"GCF_056503825.1: China: Zhoushan, Zhejiang Province | GCF_000708675.1: China: East China Sea"
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_485154554.1,Surface seawater●,GCF_977254865.1: depth: 5 | GCF_977266405.1: depth: 5
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_483429720.1,Surface seawater●,depth: 150
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_228548738.1,Marine sediment■,marine sediment from the Pacific Ocean
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_050660496.1,Surface seawater●,Indian Ocean: Southwest Indian Ocean
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_230818297.1,Surface seawater●,Indian Ocean
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_460311521.1,Intertidal sediment / beach sand▲,South Korea
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_169211550.1,Surface seawater●,South Korea: Jeju Island
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_229158737.1,Intertidal sediment / beach sand▲,South Korea: Ganghwa Island
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_390614625.1,Intertidal / coastal seawater★,"coastal region of Ishigaki Island, Japan | Japan:Okinawa, Ishigaki Island"
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_369812671.1,Deep-sea / chemosynthetic sediment⬟,"Japan:Tokyo, Torishima Island"
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_268408416.1,Marine sediment■,Germany
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_499614433.1,Surface seawater●,Denmark: Helsingor harbor
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_232370634.1,Marine host-associated⬡,Not reported
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_140959234.1,Mangrove sediment✚,"China: Beilun estuary national nature reserve, Fangchenggang City, Guangxi Province"
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_390517656.1,Intertidal / coastal seawater★,Japan:Fukui
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_345421781.1,Intertidal / coastal seawater★,Japan
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_215244196.1,Deep-sea / chemosynthetic sediment⬟,Pacific Ocean | 13°N East Pacific Rise; approximately 2600 m (exact type strain 10C / CCUG 50949)
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_214794421.1,Marine sediment■,China: Yellow Sea and East China Sea
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_214875247.1,Marine host-associated⬡,China: Zhoushan
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_215142194.1,Marine host-associated⬡,China: Qingdao
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_214827836.1,Marine host-associated⬡,China: Dongxing
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_214762277.1,Marine sediment■,Pacific Ocean
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_138127256.1,Mangrove sediment✚,China: Wenchang
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_101892728.1,Marine host-associated⬡,South Korea: Taean
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_044748373.1,Deep-sea / chemosynthetic sediment⬟,"Greece: Milos, Kanava"
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_423419467.1,Marine host-associated⬡,China:Weihai
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_087913571.1,Marine sediment■,South Korea: East Sea
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_085758778.1,Surface seawater●,Japan: Sagami Bay Station; source: seawater
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_011759196.1,Marine sediment■,"Amazon River delta, coastal shelf off Brazil"
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_233806466.1,Marine host-associated⬡,Israel: Eilat
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_203326402.1,Intertidal sediment / beach sand▲,South Korea: Saemankum; tidal-flat sediment on the western coast of Korea
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_338776667.1,Marine sediment■,China: Fujian
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_342822418.1,Mangrove sediment✚,Brazil: SaoPaulo
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_211558611.1,Intertidal sediment / beach sand▲,"South Korea: Marine mudflats, Uljin"
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_163636080.1,Marine sediment■,Pacific Ocean
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_305904215.1,Surface seawater●,South Korea
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_133213762.1,Intertidal sediment / beach sand▲,"South Korea: Gangwha Island, Incheon"
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_421563200.1,Marine host-associated⬡,South Korea: Pusan
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_249700801.1,Marine host-associated⬡,South Korea: Jeju-do
Glutathione peroxidase (WP_026826575.1),#0072B2,WP_203293554.1,Surface seawater●,India:Indian Ocean off Goa
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_169688273.1,Marine host-associated⬡,"China: Panjin (SJ-3, SJ-2); China: HaiKou (HNM0563); China: Weihai (F64268)"
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_305093932.1,Marine sediment■,Pacific Ocean
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_169647600.1,Marine host-associated⬡,China: HaiKou
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_338889646.1,Mangrove sediment✚,"China: Taizhou City, Zhejiang Province"
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_269744637.1,Marine host-associated⬡,"Hadselfjorden, northern Norway"
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_457222775.1,Surface seawater●,China: Panjin
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_255058471.1,Intertidal sediment / beach sand▲,South Korea
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_265994625.1,Marine host-associated⬡,"Croatia (P3); Croatia: Adriatic Sea (CVI_P3, CVI_P4)"
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_099020684.1,Marine sediment■,Palau
Glutathione peroxidase (WP_003945816.1),#42d4f4,WP_103760023.1,Marine host-associated⬡,Ireland: Kilkieran Bay
PHB depolymerase (AAB40611.1),#8E63CE,WP_485163824.1,Surface seawater●,Not reported
PHB depolymerase (AAB40611.1),#8E63CE,WP_416391079.1,Deep-sea / chemosynthetic sediment⬟,Pacific Ocean
PHB depolymerase (AAB40611.1),#8E63CE,WP_244168483.1,Deep seawater▼,Indian Ocean
PHB depolymerase (AAB40611.1),#8E63CE,WP_194855806.1,Surface seawater●,Not reported
PHB depolymerase (AAB40611.1),#8E63CE,WP_228548738.1,Marine sediment■,Not reported
PHB depolymerase (AAB40611.1),#8E63CE,WP_485154554.1,Surface seawater●,Not reported
PHB depolymerase (AAB40611.1),#8E63CE,WP_101674902.1,Deep-sea / chemosynthetic sediment⬟,Indian Ocean
PHB depolymerase (AAB40611.1),#8E63CE,WP_229158737.1,Intertidal sediment / beach sand▲,South Korea: Ganghwa Island
PHB depolymerase (AAB40611.1),#8E63CE,WP_416306217.1,Plastisphere / marine biofilm✕,China
PHB depolymerase (AAB40611.1),#8E63CE,WP_043321053.1,Surface seawater●,"China: Zhoushan, Zhejiang Province"
PHB depolymerase (AAB40611.1),#8E63CE,WP_069947361.1,Mangrove sediment✚,"Malaysia: Matang Mangrove, Perak"
PHB depolymerase (AAB40611.1),#8E63CE,WP_008486116.1,Surface seawater●,China
PHB depolymerase (AAB40611.1),#8E63CE,WP_214129931.1,Deep-sea / chemosynthetic sediment⬟,Indian Ocean
PHB depolymerase (AAB40611.1),#8E63CE,WP_460311521.1,Intertidal sediment / beach sand▲,South Korea
PHB depolymerase (AAB40611.1),#8E63CE,WP_390614625.1,Plastisphere / marine biofilm✕,"Japan:Okinawa, Ishigaki Island"
PHB depolymerase (AAB40611.1),#8E63CE,WP_169211550.1,Surface seawater●,South Korea: Jeju Island
PHB depolymerase (AAB40611.1),#8E63CE,WP_308160236.1,Deep-sea / chemosynthetic sediment⬟,Indian Ocean: polymetallic sulfide region
PHB depolymerase (AAB40611.1),#8E63CE,WP_483429720.1,Surface seawater●,Not reported
PHB depolymerase (AAB40611.1),#8E63CE,WP_230818297.1,Deep-sea / chemosynthetic sediment⬟,Indian Ocean
PHB depolymerase (AAB40611.1),#8E63CE,WP_140959234.1,Mangrove sediment✚,"China: Beilun estuary national nature reserve, Fangchenggang City, Guangxi Province"
PHB depolymerase (AAB40611.1),#8E63CE,WP_268408416.1,Marine sediment■,Germany
PHB depolymerase (AAB40611.1),#8E63CE,WP_290619885.1,Surface seawater●,Not reported
PHB depolymerase (AAB40611.1),#8E63CE,WP_290610051.1,Surface seawater●,Not reported
PHB depolymerase (AAB40611.1),#8E63CE,WP_390517656.1,Plastisphere / marine biofilm✕,Japan:Fukui
PHB depolymerase (AAB40611.1),#8E63CE,WP_345421781.1,Surface seawater●,Japan
PHB depolymerase (AAB40611.1),#8E63CE,WP_227718221.1,Marine host-associated⬡,China
PHB depolymerase (AAB40611.1),#8E63CE,WP_318954214.1,Marine host-associated⬡,"Micronesia, Federated States of: Federated State of Micronesia, ) in the Pacific Ocean; local setting: 20 m depth in a tropical area"
PHB depolymerase (AAB40611.1),#8E63CE,WP_058584693.1,Surface seawater●,"Saudi Arabia: Erba deep brine-seawater interface, Red Sea; depth: 2000 m."
PHB depolymerase (AAB40611.1),#8E63CE,WP_435559480.1,Marine sediment■,China
PHB depolymerase (AAB40611.1),#8E63CE,WP_349560949.1,Surface seawater●,Portugal
PHB depolymerase (AAB40611.1),#8E63CE,WP_119853069.1,Surface seawater●,Not reported
PHB depolymerase (AAB40611.1),#8E63CE,WP_217702824.1,Surface seawater●,"USA: GA, Athens"
PHB depolymerase (AAB40611.1),#8E63CE,WP_297330116.1,Marine sediment■,Peru: Oxygen minimum zone
PHB depolymerase (AAB40611.1),#8E63CE,WP_055197275.1,Marine host-associated⬡,USA: Woods Hole
PHB depolymerase (AAB40611.1),#8E63CE,WP_287244842.1,Surface seawater●,Australia: Orpheus Island
PHB depolymerase (AAB40611.1),#8E63CE,WP_055021419.1,Marine host-associated⬡,USA: Woods Hole
PHB depolymerase (AAB40611.1),#8E63CE,WP_304636376.1,Deep-sea / chemosynthetic sediment⬟,Not reported
PHB depolymerase (AAB40611.1),#8E63CE,WP_483432081.1,Surface seawater●,Not reported
PHB depolymerase (AAB40611.1),#8E63CE,WP_337117224.1,Marine host-associated⬡,Baltic Sea; local setting: ENVO_06105013
PHB depolymerase (AAB40611.1),#8E63CE,WP_206004052.1,Marine host-associated⬡,"Viet Nam: Hon Tre, Nha Trang Bay"
PHB depolymerase (AAB40611.1),#8E63CE,WP_209327470.1,Marine host-associated⬡,Brazil:Rio de Janeiro
PHB depolymerase (AAB40611.1),#8E63CE,WP_371351604.1,Marine sediment■,Not reported
PHB depolymerase (AAB40611.1),#8E63CE,WP_483313308.1,Surface seawater●,Not reported
PHB depolymerase (AAB40611.1),#8E63CE,WP_179025361.1,Marine host-associated⬡,Australia: Jervis Bay
PHB depolymerase (AAB40611.1),#8E63CE,WP_394202901.1,Marine sediment■,China: Qingdao
PHB depolymerase (AAB40611.1),#8E63CE,WP_315947146.1,Surface seawater●,South Korea
PHB depolymerase (AAB40611.1),#8E63CE,WP_144035305.1,Marine sediment■,South Korea: Jeju
PHB depolymerase (AAB40611.1),#8E63CE,WP_138319590.1,Intertidal sediment / beach sand▲,"South Korea: South Sea, Jeju"
Laccase (UVG67878.1),#7B3E1B,WP_483284391.1,Polar sea ice / cryosphere◆,Antarctica: Indian Ocean
Laccase (UVG67878.1),#7B3E1B,WP_464753840.1,Marine host-associated⬡,Not reported
Laccase (UVG67878.1),#7B3E1B,WP_352339194.1,Surface seawater●,"Antarctica: Terra Nova Bay, Victoria Land"
Laccase (UVG67878.1),#7B3E1B,WP_200662746.1,Marine host-associated⬡,"Spain: Motri, Granada"
Laccase (UVG67878.1),#7B3E1B,WP_265090687.1,Surface seawater●,Antarctica
Laccase (UVG67878.1),#7B3E1B,WP_201555270.1,Surface seawater●,Not reported
Laccase (UVG67878.1),#7B3E1B,WP_201545234.1,Marine host-associated⬡,Not reported
Laccase (UVG67878.1),#7B3E1B,WP_201604737.1,Marine host-associated⬡,North Sea
Laccase (UVG67878.1),#7B3E1B,WP_057760058.1,Marine host-associated⬡,Norway: Norwegian Sea
Laccase (UVG67878.1),#7B3E1B,WP_197102965.1,Surface seawater●,Antarctica
Laccase (UVG67878.1),#7B3E1B,WP_320158565.1,Surface seawater●,Svalbard
Laccase (UVG67878.1),#7B3E1B,WP_320157866.1,Surface seawater●,Southern Atlantic Ocean
Laccase (UVG67878.1),#7B3E1B,WP_464754084.1,Marine host-associated⬡,Not reported
Laccase (UVG67878.1),#7B3E1B,WP_320158633.1,Surface seawater●,Antarctica
Laccase (UVG67878.1),#7B3E1B,WP_296206776.1,Surface seawater●,Not reported
Laccase (UVG67878.1),#7B3E1B,WP_352259758.1,Marine host-associated⬡,"Antarctica: Terra Nova Bay, Victoria Land"
Laccase (UVG67878.1),#7B3E1B,WP_350655890.1,Surface seawater●,"Antarctica: Terra Nova Bay, Victoria Land"
Laccase (UVG67878.1),#7B3E1B,WP_320157998.1,Marine host-associated⬡,North Sea
Laccase (UVG67878.1),#7B3E1B,WP_068034901.1,Marine host-associated⬡,Norway: Norwegian sea
Laccase (UVG67878.1),#7B3E1B,WP_218870164.1,Deep seawater▼,Pacific Ocean: Lau Basin
Laccase (UVG67878.1),#7B3E1B,WP_068326517.1,Marine host-associated⬡,Norway: Norwegian sea
Laccase (UVG67878.1),#7B3E1B,WP_201569653.1,Marine host-associated⬡,Not reported
Laccase (UVG67878.1),#7B3E1B,WP_201566452.1,Marine host-associated⬡,Not reported
Laccase (UVG67878.1),#7B3E1B,WP_057758566.1,Marine host-associated⬡,Norway: Norwegian Sea
Laccase (UVG67878.1),#7B3E1B,WP_201551533.1,Surface seawater●,glacial fjord in Svalbard
Laccase (UVG67878.1),#7B3E1B,WP_075107101.1,Marine host-associated⬡,Spain: Galicia
Laccase (UVG67878.1),#7B3E1B,WP_350560759.1,Marine host-associated⬡,"Antarctica: Terra Nova Bay, Victoria Land"
Laccase (UVG67878.1),#7B3E1B,WP_198336790.1,Surface seawater●,"South Sea, Korea"
Laccase (UVG67878.1),#7B3E1B,WP_334222014.1,Surface seawater●,Turkey:Istanbul
Laccase (UVG67878.1),#7B3E1B,WP_025645679.1,Marine host-associated⬡,"Antarctica: Terra Nova Bay, Victoria Land"
Laccase (UVG67878.1),#7B3E1B,WP_025653160.1,Marine host-associated⬡,"Antarctica: Terra Nova Bay, Victoria Land"
Laccase (UVG67878.1),#7B3E1B,WP_430285161.1,Surface seawater●,Not reported
Laccase (UVG67878.1),#7B3E1B,WP_201551691.1,Polar sea ice / cryosphere◆,Adelie Island
Laccase (UVG67878.1),#7B3E1B,WP_228284712.1,Marine host-associated⬡,Cuba: Gardens of the Queen
Laccase (UVG67878.1),#7B3E1B,WP_276529530.1,Marine sediment■,Okhotsk Sea
Laccase (UVG67878.1),#7B3E1B,WP_212564402.1,Deep seawater▼,Not reported
Laccase (UVG67878.1),#7B3E1B,WP_201582213.1,Marine host-associated⬡,"North Cape, Norway"
Laccase (UVG67878.1),#7B3E1B,WP_201577598.1,Marine host-associated⬡,"Antarctica: Terra Nova Bay, Victoria Land"
Laccase (UVG67878.1),#7B3E1B,WP_075103633.1,Marine host-associated⬡,Spain: Galicia
Laccase (UVG67878.1),#7B3E1B,WP_201567718.1,Marine host-associated⬡,North Sea
Laccase (UVG67878.1),#7B3E1B,WP_201572231.1,Surface seawater●,Southern Atlantic Ocean
Laccase (UVG67878.1),#7B3E1B,WP_201600875.1,Surface seawater●,Pacific Ocean
Laccase (UVG67878.1),#7B3E1B,WP_352287807.1,Marine host-associated⬡,"Antarctica: Terra Nova Bay, Victoria Land"
Laccase (UVG67878.1),#7B3E1B,WP_286740907.1,Surface seawater●,"USA: Coal Oil Point, Santa Barbara, California"
Laccase (UVG67878.1),#7B3E1B,WP_201601002.1,Surface seawater●,Pacific Ocean
Laccase (UVG67878.1),#7B3E1B,WP_438950592.1,Surface seawater●,Not reported
Laccase (UVG67878.1),#7B3E1B,WP_198336469.1,Surface seawater●,"South Sea, Korea"
Laccase (UVG67878.1),#7B3E1B,WP_274631640.1,Marine host-associated⬡,China: Shan Wei
Laccase (UVG67878.1),#7B3E1B,WP_025647269.1,Marine host-associated⬡,"Antarctica: Terra Nova Bay, Victoria Land"
Laccase (UVG67878.1),#7B3E1B,WP_284143884.1,Marine host-associated⬡,Antarctica
Laccase (UVG67878.1),#7B3E1B,WP_486543076.1,Marine host-associated⬡,"China: Yantai city, Shandong Province"
Laccase (UVG67878.1),#7B3E1B,WP_486552851.1,Marine host-associated⬡,"China: Yantai city, Shandong Province"
Laccase (UVG67878.1),#7B3E1B,WP_486529742.1,Marine host-associated⬡,"China: Yantai city, Shandong Province"
Laccase (UVG67878.1),#7B3E1B,WP_491185048.1,Marine host-associated⬡,"China: Yantai city, Shandong Province"
Laccase (UVG67878.1),#7B3E1B,WP_486550632.1,Marine host-associated⬡,"China: Yantai city, Shandong Province"
Laccase (UVG67878.1),#7B3E1B,WP_101892447.1,Surface seawater●,South Korea: Taean
Laccase (UVG67878.1),#7B3E1B,WP_269128784.1,Marine host-associated⬡,Chile: Coquimbo
Laccase (UVG67878.1),#7B3E1B,WP_182169047.1,Marine sediment■,China
Laccase (UVG67878.1),#7B3E1B,WP_473682845.1,Marine host-associated⬡,South Korea: Gonghyeonjin
MCL PHA depolymerase (AAQ72538.1),#F079BA,WP_241584950.1,Intertidal sediment / beach sand▲,China
MCL PHA depolymerase (AAQ72538.1),#F079BA,WP_256573097.1,Marine sediment■,Not reported
MCL PHA depolymerase (AAQ72538.1),#F079BA,WP_496960499.1,Marine host-associated⬡,USA: Northeast
MCL PHA depolymerase (AAQ72538.1),#F079BA,WP_116368789.1,Surface seawater●,Spain: western Mediterranean Sea off Vinaros coast
MCL PHA depolymerase (AAQ72538.1),#F079BA,WP_215820801.1,Marine host-associated⬡,Germany: Wilhelmshaven
MCL PHA depolymerase (AAQ72538.1),#F079BA,WP_374031472.1,Intertidal sediment / beach sand▲,China: Hainan
PETase (UUT36763.1),#FF0808,WP_425221518.1,Deep-sea / chemosynthetic sediment⬟,Pacific Ocean: Lau Basin
PETase (UUT36763.1),#FF0808,WP_304640094.1,Deep-sea / chemosynthetic sediment⬟,Not reported
PETase (UUT36763.1),#FF0808,WP_304640135.1,Deep-sea / chemosynthetic sediment⬟,Not reported
PETase (UUT36763.1),#FF0808,WP_344804818.1,Intertidal / coastal seawater★,China
PETase (UUT36763.1),#FF0808,WP_101893885.1,Surface seawater●,South Korea: Taean
PETase (UUT36763.1),#FF0808,WP_439133283.1,Surface seawater●,Not reported
PETase (UUT36763.1),#FF0808,WP_248941904.1,Deep-sea / chemosynthetic sediment⬟,Japan: Suruga Bay
PETase (UUT36763.1),#FF0808,WP_472617452.1,Marine host-associated⬡,South Korea: Hakampo
PETase (UUT36763.1),#FF0808,WP_037003877.1,Marine host-associated⬡,"USA: FL, Apalachicola Bay"
PETase (UUT36763.1),#FF0808,WP_342405044.1,Deep seawater▼,USA: Pacific Ocean; 2246.41475
PETase (UUT36763.1),#FF0808,WP_021018894.1,Intertidal / coastal seawater★,Vibrio gazogenes from coastal Carolina
PETase (UUT36763.1),#FF0808,WP_460403762.1,Marine sediment■,China
PETase (UUT36763.1),#FF0808,WP_254715825.1,Marine sediment■,China:Hainan
PETase (UUT36763.1),#FF0808,WP_360218589.1,Marine host-associated⬡,USA
PETase (UUT36763.1),#FF0808,WP_495402955.1,Surface seawater●,"USA: St. Augustine, Florida"
PETase (UUT36764.1),#E69F00,WP_248232622.1,Marine sediment■,Japan: Peter the Great Bay
PETase (UUT36764.1),#E69F00,WP_339802429.1,Surface seawater●,Not reported
PETase (UUT36764.1),#E69F00,WP_476402585.1,Surface seawater●,Atlantic Ocean
PETase (UUT36764.1),#E69F00,WP_425221518.1,Deep-sea / chemosynthetic sediment⬟,Pacific Ocean: Lau Basin
PETase (UUT36764.1),#E69F00,WP_496961921.1,Marine host-associated⬡,USA: Northeast
PETase (UUT36764.1),#E69F00,WP_339802426.1,Surface seawater●,Not reported
PETase (UUT36764.1),#E69F00,WP_123888242.1,Surface seawater●,Antarctica: Ross Sea
PETase (UUT36764.1),#E69F00,WP_339666415.1,Surface seawater●,Not reported
PETase (UUT36764.1),#E69F00,WP_338212404.1,Intertidal / coastal seawater★,"Japan:Kanagawa, Yokosuka, Sagami bay"
PETase (UUT36764.1),#E69F00,WP_339843917.1,Surface seawater●,Not reported
PETase (UUT36764.1),#E69F00,WP_339842536.1,Surface seawater●,Not reported
PETase (UUT36764.1),#E69F00,WP_339843916.1,Surface seawater●,Not reported
PETase (UUT36764.1),#E69F00,WP_085988667.1,Marine sediment■,China
PETase (UUT36764.1),#E69F00,WP_344804818.1,Surface seawater●,China
PETase (UUT36764.1),#E69F00,WP_101893885.1,Surface seawater●,South Korea: Taean
PETase (UUT36764.1),#E69F00,WP_439133283.1,Surface seawater●,Not reported
PETase (UUT36764.1),#E69F00,WP_037003877.1,Marine host-associated⬡,"USA: FL, Apalachicola Bay"
PETase (UUT36764.1),#E69F00,WP_342405044.1,Surface seawater●,"USA: Pacific Ocean, depth 2246.41475"
PETase (UUT36764.1),#E69F00,WP_021018894.1,Surface seawater●,Not reported
PETase (UUT36764.1),#E69F00,WP_248941904.1,Deep-sea / chemosynthetic sediment⬟,Japan: Suruga Bay
PETase (UUT36764.1),#E69F00,WP_299011092.1,Marine host-associated⬡,"China, depth 0"
PETase (UUT36764.1),#E69F00,WP_472617452.1,Marine host-associated⬡,South Korea: Hakampo
PETase (UUT36764.1),#E69F00,WP_298772618.1,Marine host-associated⬡,"China, depth 0"
PETase (UUT36764.1),#E69F00,WP_299491006.1,Marine host-associated⬡,"China, depth 0"
PETase (UUT36764.1),#E69F00,WP_460403762.1,Marine sediment■,China
PETase (UUT36764.1),#E69F00,WP_254715825.1,Marine sediment■,China:Hainan
PETase (UUT36764.1),#E69F00,WP_360218589.1,Marine host-associated⬡,USA
PETase (UUT36764.1),#E69F00,WP_461003215.1,Marine sediment■,China
PETase (UUT36764.1),#E69F00,WP_250008156.1,Marine sediment■,Greece: Megas Gialos
PETase (UUT36764.1),#E69F00,WP_282087093.1,Marine host-associated⬡,"China, depth 0"
