enzyme,color,Protein accession number,Environment group,Exact sampling location,lat,lon
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_269970245.1,Deep seawater▼,GCF_027571385.1: Pacific Ocean: The Mariana Trench | depth: 10890 m | GCF_035917035.1: Pacific Ocean: The Mariana Trench | depth: 10890 m | GCF_035917075.1: Pacific Ocean: The Mariana Trench | depth: 10890 m,11.4,142.4
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_054553986.1,Intertidal sediment / beach sand▲,"USA: Garbage Beach, Woods Hole, MA",41.524998,-70.673098
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_250662258.1,Marine host-associated⬡,China: Hainan Island,18.24,109.36
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_448896118.1,Intertidal / coastal seawater★,USA: Carpenteria Salt Marsh Reserve,34.4027,-119.53483
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_286260681.1,Marine host-associated⬡,Japan:Hakodate,42.12574,139.99966
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_294089584.1,Surface seawater●,GCF_913043935.1: depth: 5 | GCF_002685175.1: Pacific Ocean: Chile-Peru Current Coastal Province | depth: 5-1000m,-34.0614,-73.1066
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_462147847.1,Marine host-associated⬡,Colombia:Buenaventura | Colombia: Buenaventura,3.873662,-77.290647
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_220094646.1,Marine host-associated⬡,GCF_013350085.1: Brazil: Rio de Janeiro | GCF_013349985.1: Brazil: Rio de Janeiro | GCF_013350045.1: Brazil: Rio de Janeiro | GCF_029991425.1: Brazil: Rio de Janeiro | GCF_029992495.1: Brazil: Rio de Janeiro | GCF_029992275.1: Brazil: Rio de Janeiro,-22.2887,-42.5341
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_250660409.1,Marine host-associated⬡,China: Hainan Island,18.24,109.36
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_490386461.1,Surface seawater●,depth: 746,22.7546,-158.0067
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_349274157.1,Marine host-associated⬡,GCF_040104415.1: Belize: Carrie Bow Cay | GCF_040104395.1: Belize: Carrie Bow Cay,16.79,-88.07
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_212751477.1,Surface seawater●,Solomon Islands,-8.1005,156.8451
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_339981228.1,Marine host-associated⬡,Atlantic Ocean | depth: 0-5 m,31.4,-64.1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_138686283.1,Plastisphere / marine biofilm✕,GCF_005887195.1: Indian Ocean | GCF_005887185.1: Indian Ocean,-35.3413,79.9641
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_205994337.1,Surface seawater●,Japan: Kagoshima | depth: 0-5cm,30.19,130.1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_251601605.1,Mangrove sediment✚,"Pakistan:Lasbella, Sonmiani, Miani Hor | depth: 0.2 m",25.4,66.1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_304636376.1,Deep-sea / chemosynthetic sediment⬟,China: Jiaolong seep,22.1,119.28
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_222937990.1,Marine host-associated⬡,Belize: Carrie Bow Cay Field Station,16.797,-88.0844
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_287244842.1,Marine host-associated⬡,Australia: Orpheus Island,-18.5446,146.4881
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_462178957.1,Marine host-associated⬡,Colombia:Buenaventura | Colombia: Buenaventura,3.873662,-77.290647
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_269407229.1,Marine host-associated⬡,Germany: Kiel,54.331849,10.144127
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_487117931.1,Plastisphere / marine biofilm✕,"Japan:Shimane, Oki, Sea of Japan | depth: 13",36.178,133.277
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_105173614.1,Surface seawater●,"China: Zhejiang Province, Ximen Island",28.33,121.18
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_212746797.1,Marine host-associated⬡,Atlantic Ocean: North Atlantic,24.9963,-67.0246
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_235382668.1,Marine host-associated⬡,GCF_982780175.1: Mediterranean Sea | GCF_021532595.1: Belize: Carrie Bow Cay,43.49,7.9
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_235382668.1,Marine host-associated⬡,GCF_982780175.1: Mediterranean Sea | GCF_021532595.1: Belize: Carrie Bow Cay,16.79,-88.07
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_462175783.1,Marine host-associated⬡,Colombia:Buenaventura | Colombia: Buenaventura,3.873662,-77.290647
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_228482490.1,Marine host-associated⬡,"Brazil: Rio de Janeiro, Arraial do Cabo",-22.58,-42.02
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_253039232.1,Marine host-associated⬡,"Virgin Islands: St. Thomas, Hull Bay",18.37436,-64.9549
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_138557790.1,Surface seawater●,GCF_947311895.1: Taiwan | GCF_005886815.1: Atlantic Ocean: North Atlantic,23.2469494,119.6679559
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_138557790.1,Surface seawater●,GCF_947311895.1: Taiwan | GCF_005886815.1: Atlantic Ocean: North Atlantic,26.5042,-66.9964
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_082873985.1,Surface seawater●,China: South China Sea | depth: 0,19.0,119.0
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_348708929.1,Marine host-associated⬡,Indian Ocean,-8.0045,53.2943
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_348714410.1,Surface seawater●,depth: 800,-20.4075,-3.1641
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_462182065.1,Marine host-associated⬡,Colombia:Buenaventura | Colombia: Buenaventura,3.873662,-77.290647
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_130167674.1,Marine host-associated⬡,GCF_005886125.1: Atlantic Ocean: North Atlantic | GCF_005886795.1: Atlantic Ocean: North Atlantic | GCF_004208935.1: Panama: Coiba National Park,24.9963,-67.0246
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_130167674.1,Marine host-associated⬡,GCF_005886125.1: Atlantic Ocean: North Atlantic | GCF_005886795.1: Atlantic Ocean: North Atlantic | GCF_004208935.1: Panama: Coiba National Park,7.46,-81.76
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_062565773.1,Surface seawater●,Pacific Ocean: Shioyasaki offshore | depth: 2100 m,37.12,142.42
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_054562494.1,Intertidal sediment / beach sand▲,"USA: Garbage Beach, Woods Hole, MA",41.524998,-70.673098
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_488035880.1,Deep seawater▼,"Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m",22.75,-158.0
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_487986883.1,Surface seawater●,"GCF_982939845.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982940325.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982942705.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150",26.196,-158.156
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_487986883.1,Surface seawater●,"GCF_982939845.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982940325.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982942705.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150",26.475,-158.313
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_487986883.1,Surface seawater●,"GCF_982939845.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982940325.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982942705.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150",26.201,-158.477
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_287205260.1,Deep seawater▼,"GCF_982939745.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982941445.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982950745.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_013213925.1: Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m",25.408,-159.377
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_287205260.1,Deep seawater▼,"GCF_982939745.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982941445.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982950745.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_013213925.1: Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m",25.188,-159.284
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_287205260.1,Deep seawater▼,"GCF_982939745.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982941445.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982950745.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_013213925.1: Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m",25.944,-158.273
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_287205260.1,Deep seawater▼,"GCF_982939745.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982941445.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982950745.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_013213925.1: Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m",22.75,-158.0
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_332393413.1,Surface seawater●,Mexico: zone between Perdido belt and Coatzacoalcos | depth: 1000 m,20.31,-94.13
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_253048777.1,Marine host-associated⬡,"USA: FL, Ft. Lauderdale",26.16,-80.1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_474704773.1,Surface seawater●,"Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 500",22.75,-158.0
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_285220986.1,Surface seawater●,"Brazil: Buzios, Rio de Janeiro",-22.74,-41.88
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_300421023.1,Surface seawater●,"Indian Ocean | Indian Ocean:East of Madagascar, South Indian Ocean",-27.98,63.25
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_235374218.1,Marine host-associated⬡,GCF_021532515.1: Belize: Carrie Bow Cay | GCF_024124445.1: Belize: Carrie Bow Cay,16.79,-88.07
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_342409634.1,Surface seawater●,Mexico: zone between Perdido belt and Coatzacoalcos | depth: 1000 m,20.31,-94.13
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_294410258.1,Surface seawater●,"Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150m",22447445.1,22447445.1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_300358640.1,Surface seawater●,"GCF_950058495.1: Indian Ocean | Indian Ocean:East of Durban, South Africa, South Indian Ocean | GCF_950059505.1: Indian Ocean | Indian Ocean:East of Durban, South Africa, South Indian Ocean | GCF_950075255.1: Indian Ocean | Indian Ocean:East of Madagascar, South Indian Ocean | GCF_982612165.1: Indian Ocean | Indian Ocean:East of Durban, South Africa, South Indian Ocean",-33.55,39.89
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_300358640.1,Surface seawater●,"GCF_950058495.1: Indian Ocean | Indian Ocean:East of Durban, South Africa, South Indian Ocean | GCF_950059505.1: Indian Ocean | Indian Ocean:East of Durban, South Africa, South Indian Ocean | GCF_950075255.1: Indian Ocean | Indian Ocean:East of Madagascar, South Indian Ocean | GCF_982612165.1: Indian Ocean | Indian Ocean:East of Durban, South Africa, South Indian Ocean",-27.98,63.25
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_235377235.1,Marine host-associated⬡,"USA: FL, Keys FRRP 1177",24.59,-81.4
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_230237131.1,Mangrove sediment✚,"USA: Florida Keys, Florida | depth: 0.5 m",25.102204,-80.438708
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_462167324.1,Marine host-associated⬡,Colombia:Iscuande | Colombia: Iscuande,2.631577,-78.041853
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_417698834.1,Surface seawater●,China: Qingdao | depth: 1,36.04,120.26
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_462168155.1,Marine host-associated⬡,Colombia:Iscuande | Colombia: Iscuande,2.631577,-78.041853
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_487093717.1,Plastisphere / marine biofilm✕,"Japan:Shimane, Oki, Sea of Japan | depth: 13",36.178,133.277
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_487054184.1,Plastisphere / marine biofilm✕,"Japan:Kagoshima, Kagoshima, Kagoshima Bay | depth: 22.9",31.557,130.564
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_353537636.1,Plastisphere / marine biofilm✕,"Japan:Kagoshima, Kagoshima, Kagoshima Bay | depth: 5.2",31.557,130.564
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_487539752.1,Deep seawater▼,"Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m",22.75,-158.0
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_291610914.1,Deep seawater▼,"GCF_982678925.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m | GCF_013215345.1: Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m",22.75,-158.0
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_216054076.1,Intertidal sediment / beach sand▲,"USA:Massachusetts, Nahant, Canoe Beach | USA: Massachusetts, Nahant, Canoe Beach | depth: 0-2 m",42.25,-70.54
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_487943909.1,Deep seawater▼,"Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m",22.75,-158.0
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_291624144.1,Deep seawater▼,"GCF_982684065.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m | GCF_982684205.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m | GCF_982684725.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m | GCF_982685645.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m | GCF_013214175.1: Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m",22.75,-158.0
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_353517955.1,Plastisphere / marine biofilm✕,"Japan:Shimane, Oki, Sea of Japan | depth: 13",36.178,133.277
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_490032689.1,Plastisphere / marine biofilm✕,Japan:Sagami Bay | Japan: Sagami Bay | depth: -853m,58135875.1,58135875.1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_215964367.1,Intertidal sediment / beach sand▲,"GCF_018860285.1: USA:Massachusetts, Nahant, Canoe Beach | USA: Massachusetts, Nahant, Canoe Beach | depth: 0-2 m | GCF_018861025.1: USA:Massachusetts, Nahant, Canoe Beach | USA: Massachusetts, Nahant, Canoe Beach | depth: 0-2 m",42.25,-70.54
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_303521422.1,Intertidal sediment / beach sand▲,"USA:Canoe Beach, Nahant, MA | depth: 0",42.42,-70.907
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_078085898.1,Mangrove sediment✚,India:Goa | India: Goa | depth: not available,15.5109,73.8607
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_219932609.1,Surface seawater●,China: Wenzhou | depth: 0 m,27.5,120.3
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_353410179.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea | depth: 7.7",34.365,133.217
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_475659072.1,Surface seawater●,China: Yellow sea,37.09,122.35
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_475089634.1,Surface seawater●,"USA: Atlantic ocean at Key West, Florida",24.55,-81.78
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_289097053.1,Marine host-associated⬡,China | depth: 0,37.562,122.121
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_375185160.1,Surface seawater●,China: South China Sea | depth: 1000m,17.04,110.0
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_133493510.1,Plastisphere / marine biofilm✕,Chile: Antofagasta,-23.463658,-70.504668
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_317009323.1,Surface seawater●,Mexico: Gulf of Mexico | depth: 307 m,19.5,-96.0
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_244168483.1,Deep seawater▼,GCF_002072815.1: Indian Ocean | GCF_001411415.1: Egypt,34.42,34.0
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_316308580.1,Marine host-associated⬡,"China: Xiamen, Ocean | depth: 0",39.54,116.26
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_433976675.1,Surface seawater●,GCF_051011735.1: China | depth: 1m-1.5m | GCF_051011755.1: China | depth: 1m-1.5m,19.31,109.34
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_474365385.1,Surface seawater●,GCF_977548365.1: Mediterranean Sea | GCF_056783405.1: India: Arabian Sea | depth: 300m,38.55,13.18
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_474365385.1,Surface seawater●,GCF_977548365.1: Mediterranean Sea | GCF_056783405.1: India: Arabian Sea | depth: 300m,10.504,75.398
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_204431675.1,Surface seawater●,India: Arabian Sea | depth: 15cm,18.921836,72.834705
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_410308002.1,Plastisphere / marine biofilm✕,China: Hangzhou city | depth: 0,29.949,122.091
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_346839204.1,Surface seawater●,India: Goa | depth: 1m,15.513,73.8704
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_475231578.1,Surface seawater●,"USA: Atlantic ocean at Key West, Florida",24.55,-81.78
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_474359680.1,Surface seawater●,Mediterranean Sea,39.48,7.24
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_410298276.1,Plastisphere / marine biofilm✕,China: Hangzhou city | depth: 0,29.949,122.091
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_475092319.1,Surface seawater●,"GCF_056312215.1: USA: Atlantic ocean at Key West, Florida | GCF_056159125.1: USA: Atlantic ocean at Key West, Florida | GCF_056160765.1: USA: Atlantic ocean at Key West, Florida",24.55,-81.78
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_474234444.1,Surface seawater●,"USA | USA:Monterey Bay, California, USA",36.25,-122.2099
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_473780318.1,Surface seawater●,Atlantic Ocean | Atlantic Ocean: Caribbean Sea: Cariaco Basin,10.847,-65.114
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_423934416.1,Surface seawater●,China: Dapeng Bay | depth: 0.1,22.5675,114.4555
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_423885108.1,Surface seawater●,China: Dapeng Bay | depth: 0.1,22.5675,114.4555
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_473785057.1,Deep seawater▼,GCF_977596165.1: Pacific Ocean | GCF_977673245.1: Pacific Ocean | Pacific Ocean:Mariana Trench,-11.499,-81.401
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_473785057.1,Deep seawater▼,GCF_977596165.1: Pacific Ocean | GCF_977673245.1: Pacific Ocean | Pacific Ocean:Mariana Trench,11.34,142.33
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_474367516.1,Surface seawater●,Pacific Ocean | Pacific Ocean:Mariana Trench,11.34,142.33
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_475364427.1,Deep seawater▼,Pacific Ocean | Pacific Ocean:Mariana Trench,11.34,142.33
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_414828916.1,Marine sediment■,Pacific Ocean | depth: 3200m,3.0,142.5
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_473781655.1,Surface seawater●,GCF_977547915.1: Pacific Ocean | GCF_977551495.1: Pacific Ocean | GCF_977570865.1: Pacific Ocean | GCF_977585045.1: Pacific Ocean | GCF_977596005.1: Pacific Ocean | GCF_977596125.1: Pacific Ocean | GCF_977606395.1: Pacific Ocean | GCF_977608535.1: Pacific Ocean | GCF_977653285.1: Pacific Ocean | Pacific Ocean:Subarctic Pacific Ocean,-13.003,-80.809
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_473781655.1,Surface seawater●,GCF_977547915.1: Pacific Ocean | GCF_977551495.1: Pacific Ocean | GCF_977570865.1: Pacific Ocean | GCF_977585045.1: Pacific Ocean | GCF_977596005.1: Pacific Ocean | GCF_977596125.1: Pacific Ocean | GCF_977606395.1: Pacific Ocean | GCF_977608535.1: Pacific Ocean | GCF_977653285.1: Pacific Ocean | Pacific Ocean:Subarctic Pacific Ocean,-14.51,-76.2
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_473781655.1,Surface seawater●,GCF_977547915.1: Pacific Ocean | GCF_977551495.1: Pacific Ocean | GCF_977570865.1: Pacific Ocean | GCF_977585045.1: Pacific Ocean | GCF_977596005.1: Pacific Ocean | GCF_977596125.1: Pacific Ocean | GCF_977606395.1: Pacific Ocean | GCF_977608535.1: Pacific Ocean | GCF_977653285.1: Pacific Ocean | Pacific Ocean:Subarctic Pacific Ocean,-11.499,-81.405
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_473781655.1,Surface seawater●,GCF_977547915.1: Pacific Ocean | GCF_977551495.1: Pacific Ocean | GCF_977570865.1: Pacific Ocean | GCF_977585045.1: Pacific Ocean | GCF_977596005.1: Pacific Ocean | GCF_977596125.1: Pacific Ocean | GCF_977606395.1: Pacific Ocean | GCF_977608535.1: Pacific Ocean | GCF_977653285.1: Pacific Ocean | Pacific Ocean:Subarctic Pacific Ocean,-14.509,-76.201
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_464948910.1,Marine host-associated⬡,"Canada: Fanny Bay, Vancouver Island, British Columbia",49.5078,-124.8272709
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_406827977.1,Surface seawater●,Viet Nam,17.488568,106.628368
