Protein accession number,Latitude,Longitude,Exact sampling location,Coordinate evidence,Source URL
WP_290577639.1,19.909,115.243,Pacific Ocean: South China Sea; depth 700 m; 19.909 N 115.243 E,BioSample SAMN08366966 lat_lon field: 19.909 N 115.243 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN08366966
WP_101893885.1,Not reported,Not reported,South Korea: Taean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN06011404
WP_439133283.1,Not reported,Not reported,missing: sample group,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA118800759
WP_290594301.1,19.909,115.243,Pacific Ocean: South China Sea; depth 700 m; 19.909 N 115.243 E | Pacific Ocean: South China Sea; depth 40 m; 19.909 N 115.243 E,BioSample SAMN08366045 lat_lon field: 19.909 N 115.243 E | BioSample SAMN10135622 lat_lon field: 19.909 N 115.243 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN08366045 | https://www.ncbi.nlm.nih.gov/biosample/SAMN10135622
WP_277688238.1,25.83,-95.5,Mexico: Gulf of Mexico; depth 1000 m; 25.83 N 95.50 W,BioSample SAMN33942751 lat_lon field: 25.83 N 95.50 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN33942751
WP_139344129.1,Not reported,Not reported,Taiwan:Keelung,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMD00393696
WP_353348434.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; depth 2.8; 34.365 N 133.217 E",BioSample SAMD00755700 latitude and longitude field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00755700/
WP_037003877.1,Not reported,Not reported,"USA: FL, Apalachicola Bay",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN02471812
WP_342405044.1,Not reported,Not reported,USA: Pacific Ocean; depth 2246.41475,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN41018447
WP_353348446.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; depth 2.8; 34.365 N 133.217 E",BioSample SAMD00755700 latitude and longitude field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00755700/
WP_021018894.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN06053751
WP_353352583.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; depth 2.8; 34.365 N 133.217 E",BioSample SAMD00755700 latitude and longitude field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00755700/
WP_222911733.1,-16.542142,89.289884,Indian Ocean: Ninety East Ridge; 16.542142 S 89.289884 E,BioSample SAMN20777501 lat_lon field: 16.542142 S 89.289884 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN20777501
WP_248941904.1,Not reported,Not reported,Japan: Suruga Bay,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN24537866
WP_299011092.1,Not reported,Not reported,China; depth 0,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157087
WP_472617452.1,Not reported,Not reported,South Korea: Hakampo,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN52399731
WP_334015429.1,41.4,2.48,"Spain:Blanes, Blanes Bay Microbial Observatory; depth surface; 41.40 N 2.48 E",BioSample SAMN39606790 lat_lon field: 41.40 N 2.48 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN39606790
WP_298772618.1,Not reported,Not reported,China; depth 0,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157088
WP_299491006.1,Not reported,Not reported,China; depth 0,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157089
WP_353410588.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; depth 7.7; 34.365 N 133.217 E",BioSample SAMD00755679 latitude and longitude field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00755679/
WP_460403762.1,Not reported,Not reported,China,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMD00809562
WP_460238364.1,31.557,130.564,"Japan:Kagoshima, Kagoshima, Kagoshima Bay; depth 5.05m; 31.557 N 130.564 E",BioSample SAMD00787896 lat_lon field: 31.557 N 130.564 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00787896
WP_460231427.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; depth 7.8m; 34.365 N 133.217 E",BioSample SAMD00787895 lat_lon field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00787895
WP_475536341.1,38.333446,-123.058785,"USA: Califronia, Bodega Bay; 38.333446 N 123.058785 W",BioSample SAMN54449791 lat_lon field: 38.333446 N 123.058785 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN54449791
WP_254715825.1,Not reported,Not reported,China:Hainan,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN15090285
WP_360218589.1,Not reported,Not reported,USA,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN41497392
WP_464107829.1,31.557,130.564,"Japan:Kagoshima, Kagoshima, Kagoshima Bay; depth 19.1m; 31.557 N 130.564 E",BioSample SAMD00787894 lat_lon field: 31.557 N 130.564 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00787894
WP_461003215.1,Not reported,Not reported,China,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMD00809597
WP_134651899.1,16.22,108.22,16.22 N 108.22 E,BioSample SAMN11039608 lat_lon field: 16.22 N 108.22 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN11039608
WP_250008156.1,Not reported,Not reported,Greece: Megas Gialos,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN14734386
WP_282087093.1,Not reported,Not reported,China; depth 0,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157020
WP_464107832.1,31.557,130.564,"Japan:Kagoshima, Kagoshima, Kagoshima Bay; depth 19.1m; 31.557 N 130.564 E",BioSample SAMD00787894 lat_lon field: 31.557 N 130.564 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00787894
